"","adm0_name","adm1_name","adm2_name","population","phase_class","phase1","phase2","phase3","phase4","phase5","phase35"
"1","Central African Republic","Bamingui-Bangoran","Bamingui",8918,3,1783,3121,2675,1337,0,4012
"2","Central African Republic","Bamingui-Bangoran","Ndele",47533,4,11883,11883,14260,9507,0,23767
"3","Central African Republic","Bangui","Bangui",910141,3,182028,318549,318549,91014,0,409563
"4","Central African Republic","Basse-Kotto","Alindao",85045,4,17009,21261,29765,17009,0,46774
"5","Central African Republic","Basse-Kotto","Kembe",48901,3,9780,9780,22005,7335,0,29340.6
"6","Central African Republic","Basse-Kotto","Mingala",37357,4,9339,9339,11207,7471,0,18678
"7","Central African Republic","Basse-Kotto","Mobaye",77754,3,27213,19438,19438,11663,0,31101
"8","Central African Republic","Basse-Kotto","Satema",30448,4,6090,7612,9134,7612,0,16746
"9","Central African Republic","Basse-Kotto","Zangba",47652,4,9530,14295,14295,9530,0,23825
"10","Central African Republic","Haut-Mbomou","Obo",40816,4,4081,10204,16326,10204,0,26530
"11","Central African Republic","Haut-Mbomou","Zemio",26414,4,2641,9244,9244,5282,0,14526
"12","Central African Republic","Haute-Kotto","Bria",91568,3,9156,32048,36627,13735,0,50362
"13","Central African Republic","Kemo","Dekoa",47082,4,7062,14125,16479,9416,0,25895.1
"14","Central African Republic","Kemo","Mala",19154,4,1915,5746,7661,3831,0,11492
"15","Central African Republic","Kemo","Ndjoukou",38490,4,3849,11547,15396,7698,0,23094
"16","Central African Republic","Kemo","Sibut",51315,4,7697,15395,17960,10263,0,28223
"17","Central African Republic","Lobaye","Boda",50939,3,12734,20375,12734,5093,0,17827
"18","Central African Republic","Lobaye","Boganangone",38470,3,7694,13464,13464,3847,0,17311
"19","Central African Republic","Lobaye","Boganda",18384,3,3676,6434,6434,1838,0,8272
"20","Central African Republic","Lobaye","Mbaiki",188212,3,56463,65874,47053,18821,0,65874
"21","Central African Republic","Lobaye","Mongoumba",30586,3,6117,10705,9175,4587,0,13762
"22","Central African Republic","Mambere-Kadei","Amada-Gaza",22054,3,6616,9924,3308,2205,0,5513
"23","Central African Republic","Mambere-Kadei","Berberati",173716,3,43429,60800,52114,17371,0,69485
"24","Central African Republic","Mambere-Kadei","Carnot",116832,3,40891,40891,29208,5841,0,35049
"25","Central African Republic","Mambere-Kadei","Dede-Mokouba",27197,3,6799,8159,9518,2719,0,12237
"26","Central African Republic","Mambere-Kadei","Gadzi",74108,3,22232,25937,18527,7410,0,25937
"27","Central African Republic","Mambere-Kadei","Gamboula",35114,3,8778,10534,12289,3511,0,15800
"28","Central African Republic","Mambere-Kadei","Sosso-Nakombo",17942,3,3588,6279,6279,1794,0,8073
"29","Central African Republic","Mbomou","Bakouma",28531,4,2853,8559,11412,5706,0,17118
"30","Central African Republic","Mbomou","Bangassou",85699,3,12854,21424,38564,12854,0,51418
"31","Central African Republic","Mbomou","Gambo",26874,3,2687,8062,12093,4031,0,16124
"32","Central African Republic","Mbomou","Ouango",56482,3,11296,16944,22592,5648,0,28240
"33","Central African Republic","Mbomou","Rafai",18870,3,1887,5661,8491,2830,0,11321
"34","Central African Republic","Nana-Gribizi","Kaga-Bandoro",123625,3,18543,37087,49450,18543,0,67993
"35","Central African Republic","Nana-Gribizi","Mbres",26688,3,4003,6672,12009,4003,0,16012
"36","Central African Republic","Nana-Mambere","Abba",29106,3,8731,8731,8731,2910,0,11641
"37","Central African Republic","Nana-Mambere","Baboua",52930,3,13232,15879,18525,5293,0,23818
"38","Central African Republic","Nana-Mambere","Baoro",34221,3,8555,10266,11977,3422,0,15399
"39","Central African Republic","Nana-Mambere","Bouar",102537,3,30761,35887,25634,10253,0,35887
"40","Central African Republic","Ombella M'poko","Bimbo",279403,3,55880,83820,97791,41910,0,139701
"41","Central African Republic","Ombella M'poko","Boali",31524,3,4728,9457,12609,4728,0,17337
"42","Central African Republic","Ombella M'poko","Bogangolo",10787,3,2157,2696,4314,1618,0,5932
"43","Central African Republic","Ombella M'poko","Bossembele",39651,3,7930,9912,15860,5947,0,21807
"44","Central African Republic","Ombella M'poko","Damara",39229,3,9807,13730,9807,5884,0,15691
"45","Central African Republic","Ombella M'poko","Yaloke",40721,3,10180,14252,14252,2036,0,16288
"46","Central African Republic","Ouaka","Bakala",10966,4,2193,2741,3838,2193,0,6031
"47","Central African Republic","Ouaka","Bambari",153642,3,38410,53774,46092,15364,0,61456
"48","Central African Republic","Ouaka","Grimari",50640,3,5064,12660,25320,7596,0,32916
"49","Central African Republic","Ouaka","Ippy",55525,4,13881,11105,19433,11105,0,30538
"50","Central African Republic","Ouaka","Kouango",95429,4,23857,33400,19085,19085,0,38170
"51","Central African Republic","Ouham","Batangafo",80675,4,20168,24202,20168,16135,0,36303
"52","Central African Republic","Ouham","Bossangoa",152197,3,30439,38049,76098,7609,0,83707
"53","Central African Republic","Ouham","Bouca",68246,3,17061,27298,13649,10236,0,23885
"54","Central African Republic","Ouham","Kabo",51315,3,10263,15394,17960,7697,0,25657
"55","Central African Republic","Ouham","Markounda",22867,3,4573,8003,6860,3430,0,10290
"56","Central African Republic","Ouham","Nana-Bakassa",58113,3,14528,17433,20339,5811,0,26150
"57","Central African Republic","Ouham","Nangha Boguila",28114,3,4217,7028,12651,4217,0,16868
"58","Central African Republic","Ouham Pende","Bocaranga",81012,4,8101,16202,28354,28354,0,56708
"59","Central African Republic","Ouham Pende","Bossemtele",22327,3,4465,4465,10047,3349,0,13396
"60","Central African Republic","Ouham Pende","Bozoum",53861,4,5386,8079,24237,16158,0,40395
"61","Central African Republic","Ouham Pende","Koui",28288,4,2828,4243,11315,9900,0,21215
"62","Central African Republic","Ouham Pende","Ngaoundaye",112153,4,11215,16822,50468,33645,0,84113
"63","Central African Republic","Ouham Pende","Paoua",200740,3,50185,70259,50185,30111,0,80296
"64","Central African Republic","Sangha-Mbaere","Bambio",16475,3,5766,5766,4118,823,0,4941
"65","Central African Republic","Sangha-Mbaere","Bayanga",13661,3,1366,4781,5464,2049,0,7513
"66","Central African Republic","Sangha-Mbaere","Nola",103739,3,36308,31121,25934,10373,0,36307
"67","Central African Republic","Vakaga","Birao",49692,3,7453,12423,22361,7453,0,29814
"68","Central African Republic","Vakaga","Ouanda-Djalle",4035,3,605,1008,1815,605,0,2420
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
