adm0_name,adm1_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase
Cote D'ivoire,Agneby-Tiassa,745365,1,611199.3,89443.8,44721.9,0,0,44721.9,1,1,NA,NA
Cote D'ivoire,Bagoue,521936,2,381013.28,125264.64,15658.08,0,0,15658.08,2,1,NA,NA
Cote D'ivoire,Belier,691662,2,504913.26,152165.64,34583.1,0,0,34583.1,2,2,NA,NA
Cote D'ivoire,Bere,491919,2,383696.82,98383.8,9838.38,0,0,9838.38,2,2,NA,NA
Cote D'ivoire,Cavally,499065,2,309420.3,149719.5,39925.2,0,0,39925.2,2,2,NA,NA
Cote D'ivoire,Folon,119851,1,98277.82,16779.14,4794.04,0,0,4794.04,1,1,NA,NA
Cote D'ivoire,Goh,1178843,1,1025593.41,141461.16,11788.43,0,0,11788.43,1,2,NA,NA
Cote D'ivoire,Grands Ponts,383718,2,230230.8,115115.4,38371.8,0,0,38371.8,2,2,NA,NA
Cote D'ivoire,Guemon,1208701,2,870264.72,278001.23,60435.05,0,0,60435.05,1,3,NA,NA
Cote D'ivoire,Haut-Sassandra,1552607,2,1164455.25,232891.05,155260.7,0,0,155260.7,2,2,NA,NA
Cote D'ivoire,Iffou,434000,2,230020,182280,21700,0,0,21700,2,3,NA,NA
Cote D'ivoire,Indenie-Djuablin,691662,2,463413.54,172915.5,55332.96,0,0,55332.96,2,3,NA,NA
Cote D'ivoire,Kabadougou,223311,1,200979.9,17864.88,4466.22,0,0,4466.22,1,NA,NA,NA
Cote D'ivoire,Loh-Djiboua,882090,1,732134.7,114671.7,35283.6,0,0,35283.6,1,2,NA,NA
Cote D'ivoire,Marahoue,1060869,2,509217.12,392521.53,159130.35,0,0,159130.35,1,3,NA,NA
Cote D'ivoire,Me,577537,1,548660.15,28876.85,0,0,0,0,1,1,NA,NA
Cote D'ivoire,Moronou,470675,2,291818.5,131789,47067.5,0,0,47067.5,1,3,NA,NA
Cote D'ivoire,N'zi,336337,2,265706.23,53813.92,16816.85,0,0,16816.85,2,2,NA,NA
Cote D'ivoire,Poro,1074019,2,859215.2,171843.04,42960.76,0,0,42960.76,2,2,NA,NA
Cote D'ivoire,Sud-Comoe,703412,1,604934.32,77375.32,21102.36,0,0,21102.36,1,1,NA,NA
Cote D'ivoire,Tchologo,690881,2,531978.37,117449.77,41452.86,0,0,41452.86,2,NA,NA,NA
Cote D'ivoire,Tonkpi,1215220,1,1093698,121522,0,0,0,0,1,NA,NA,NA
Cote D'ivoire,Worodougou,306071,2,192824.73,107124.85,6121.42,0,0,6121.42,2,3,NA,NA
